보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
괴안동 산16-7,1,,경기도 부천시 괴안동 산16-7,37.47707937,126.8055137,2016,,032-625-6616,경기도 부천시청,2020-10-22
괴안동 산16-7,1,,경기도 부천시 괴안동 산16-7,37.47707937,126.8055137,2009,,032-625-6673,경기도 부천시청,2020-10-22
괴안동119-28 건너편 (학교방향),1,경기도 부천시 경인로498번길 91,경기도 부천시 괴안동119-28 건너편 (학교방향),,,2016,,032-625-6849,경기도 부천시청,2020-10-22
괴안동119-7 앞 인도 전주,1,경기도 부천시 부광로 38,경기도 부천시 괴안동119-7 앞 인도 전주,37.48152982,126.8141401,2016,,032-625-6848,경기도 부천시청,2020-10-22
괴안동171-10(대진아파트101동 앞),1,,경기도 부천시 괴안동171-10(대진아파트101동 앞),37.48166743,126.8077947,2016,,032-625-6618,경기도 부천시청,2020-10-22
괴안동178-15,1,경기도 부천시 부광로41번길 81,경기도 부천시 괴안동178-15,37.4833561,126.8181561,2015,,032-625-6855,경기도 부천시청,2020-10-22
괴안동201-1,1,경기도 부천시 경인로577번길 56,경기도 부천시 괴안동201-1,37.48914203,126.8191098,2007,,032-625-6949,경기도 부천시청,2020-10-22
괴안등 123-20,1,경기도 부천시 부광로35번길 13,경기도 부천시 괴안등 123-20,37.48209295,126.8147176,2015,,032-625-6862,경기도 부천시청,2020-10-22
신흥282,2,경기도 부천시 삼작로108번길 9-1,경기도 부천시 내동 10-10,37.51988793,126.7731908,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥596,1,경기도 부천시 수도로 115,경기도 부천시 내동 104,37.51632879,126.7778347,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥597,1,경기도 부천시 수도로 115,경기도 부천시 내동 104,37.51632879,126.7778347,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥602,1,경기도 부천시 수도로117번길 13,경기도 부천시 내동 104-1,37.51665049,126.778336,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥623,1,경기도 부천시 수도로105번길 30,경기도 부천시 내동 105,37.51706305,126.7773258,,,032-625-7236,경기도 부천시청,2020-10-22
신흥625,1,경기도 부천시 수도로105번길 30,경기도 부천시 내동 105,37.51706305,126.7773258,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥598,1,경기도 부천시 수도로105번길 20,경기도 부천시 내동 105-1,37.5168183,126.7774939,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥599,1,경기도 부천시 수도로105번길 20,경기도 부천시 내동 105-1,37.5168183,126.7774939,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥626,1,경기도 부천시 수도로105번길 20,경기도 부천시 내동 105-1,37.5168183,126.7774939,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥622,1,경기도 부천시 신흥로362번길 51,경기도 부천시 내동 106,37.5171326,126.7778957,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥600,1,경기도 부천시 신흥로362번길 51,경기도 부천시 내동 106-1,37.5171326,126.7778957,,전용주,032-625-7236,경기도 부천시청,2020-10-22
신흥601,1,경기도 부천시 신흥로362번길 51,경기도 부천시 내동 106-1,37.5171326,126.7778957,,전용주,032-625-7236,경기도 부천시청,2020-10-22
신흥621,1,경기도 부천시 수도로117번길 29,경기도 부천시 내동 107-1,37.51750769,126.7780393,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥636,1,경기도 부천시 수도로105번길 40,경기도 부천시 내동 109,37.51775145,126.7773418,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥637,1,경기도 부천시 수도로105번길 46-6,경기도 부천시 내동 109-1,37.5178495,126.7777352,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥619,1,경기도 부천시 수도로117번길 33,경기도 부천시 내동 109-2,37.5177565,126.778111,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥620,1,경기도 부천시 수도로117번길 33,경기도 부천시 내동 109-2,37.5177565,126.778111,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥617,1,경기도 부천시 신흥로390번길 40,경기도 부천시 내동 110,37.51823449,126.7773992,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥652,1,경기도 부천시 삼작로144번길 31,경기도 부천시 내동 111,37.51873582,126.7775968,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥276,1,경기도 부천시 신흥로401번길 28-1,경기도 부천시 내동 11-13,37.51961491,126.7736486,,건축물,032-625-7236,경기도 부천시청,2020-10-22
신흥280,1,경기도 부천시 삼작로108번길 11,경기도 부천시 내동 11-15,37.51962123,126.7731871,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥273,1,경기도 부천시 삼작로118번길 14,경기도 부천시 내동 11-19,,,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥638,1,경기도 부천시 삼작로154번길 34,경기도 부천시 내동 112,37.51856366,126.7780362,,전용주,032-625-7236,경기도 부천시청,2020-10-22
신흥654,1,경기도 부천시 신흥로402번길 38,경기도 부천시 내동 113,37.51927962,126.7773825,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥720,1,,경기도 부천시 내동 117 맞은편,,,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥724,1,경기도 부천시 삼작로 151,경기도 부천시 내동 117-1,37.52037991,126.7779494,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥725,1,경기도 부천시 삼작로 151,경기도 부천시 내동 117-1,37.52037991,126.7779494,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥723,1,경기도 부천시 신흥로416번길 42,경기도 부천시 내동 117-5,37.52051978,126.7775825,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥721,1,경기도 부천시 삼작로143번길 14,경기도 부천시 내동 118,37.52090513,126.7774365,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥722,1,경기도 부천시 삼작로143번길 14,경기도 부천시 내동 118,37.52090513,126.7774365,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥803,1,경기도 부천시 삼작로143번길 32,경기도 부천시 내동 119,37.52153241,126.7775342,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥794,1,경기도 부천시 신흥로420번길 43,경기도 부천시 내동 119-11,37.52126953,126.7776436,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥795,1,경기도 부천시 신흥로420번길 37,경기도 부천시 내동 119-12,37.52131591,126.7773946,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥804,1,경기도 부천시 신흥로420번길 37,경기도 부천시 내동 119-12,37.52131591,126.7773946,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥793,1,경기도 부천시 신흥로420번길 49,경기도 부천시 내동 119-5,37.52128461,126.7779965,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥788,1,,경기도 부천시 내동 119-7,,,2010,,032-625-7236,경기도 부천시청,2020-10-22
신흥792,1,,경기도 부천시 내동 119-7,,,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥811,1,경기도 부천시 삼작로143번길 40,경기도 부천시 내동 120,37.52195757,126.7774741,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥812,1,경기도 부천시 삼작로143번길 40,경기도 부천시 내동 120,37.52195757,126.7774741,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥789,1,경기도 부천시 삼작로143번길 44-18,경기도 부천시 내동 120-1,37.52180418,126.7783162,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥274,1,경기도 부천시 신흥로 405,경기도 부천시 내동 12-10,,,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥266,1,,경기도 부천시 내동 12-10(주유소옆),,,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥813,1,경기도 부천시 삼작로143번길 44-18,경기도 부천시 내동 121-2,37.52180418,126.7783162,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥866,1,경기도 부천시 신흥로438번길 32,경기도 부천시 내동 122,37.52246945,126.7775314,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥863,1,경기도 부천시 삼작로153번길 45,경기도 부천시 내동 122-4 맞은편,37.52231216,126.7782151,2010,,032-625-7236,경기도 부천시청,2020-10-22
신흥810,1,경기도 부천시 삼작로143번길 48,경기도 부천시 내동 122-7,37.52229634,126.7774686,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥865,1,경기도 부천시 신흥로438번길 32,경기도 부천시 내동 122-8,37.52246945,126.7775314,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥864,1,경기도 부천시 신흥로438번길 38,경기도 부천시 내동 122-9,37.52248459,126.777916,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥272,1,경기도 부천시 삼작로118번길 7,경기도 부천시 내동 12-3,37.51986881,126.7744985,,건축물,032-625-7236,경기도 부천시청,2020-10-22
신흥876,1,경기도 부천시 신흥로446번길 26,경기도 부천시 내동 124,37.52348302,126.7779809,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥887,1,경기도 부천시 신흥로446번길 26,경기도 부천시 내동 124,37.52348302,126.7779809,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥1081,1,경기도 부천시 삼작로 122-8,경기도 부천시 내동 12-5,37.51975379,126.7746572,2013,건축물,032-625-7236,경기도 부천시청,2020-10-22
신흥889,1,경기도 부천시 삼작로163번길 67,경기도 부천시 내동 126,37.52333754,126.7791986,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥890,1,경기도 부천시 삼작로163번길 67,경기도 부천시 내동 126,37.52333754,126.7791986,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥891,1,경기도 부천시 삼작로163번길 67,경기도 부천시 내동 126,37.52333754,126.7791986,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥862,1,경기도 부천시 신흥로438번길 49,경기도 부천시 내동 127,37.52290396,126.7786116,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥888,1,경기도 부천시 신흥로438번길 49,경기도 부천시 내동 127,37.52290396,126.7786116,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥892,1,경기도 부천시 삼작로163번길 57,경기도 부천시 내동 127-3,37.52279346,126.779268,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥860,1,경기도 부천시 신흥로438번길 50,경기도 부천시 내동 128,37.52246057,126.7785586,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥861,1,경기도 부천시 신흥로438번길 50,경기도 부천시 내동 128,37.52246057,126.7785586,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥820,1,경기도 부천시 삼작로163번길 51,경기도 부천시 내동 128-1,37.52246924,126.7793414,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥821,1,경기도 부천시 삼작로163번길 51,경기도 부천시 내동 128-1,37.52246924,126.7793414,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥814,1,경기도 부천시 삼작로163번길 45,경기도 부천시 내동 129,37.52224884,126.7790434,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥815,1,경기도 부천시 삼작로163번길 45,경기도 부천시 내동 129,37.52224884,126.7790434,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥816,1,경기도 부천시 삼작로163번길 45,경기도 부천시 내동 129,37.52224884,126.7790434,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥817,1,경기도 부천시 삼작로163번길 45,경기도 부천시 내동 129,37.52224884,126.7790434,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥819,1,경기도 부천시 삼작로163번길 45,경기도 부천시 내동 129,37.52224884,126.7790434,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥790,1,경기도 부천시 부천로419번길 110,경기도 부천시 내동 131,37.52176527,126.7787055,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥791,1,경기도 부천시 부천로419번길 100,경기도 부천시 내동 131-2,37.52175505,126.7790222,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥818,1,경기도 부천시 부천로419번길 98,경기도 부천시 내동 131-3,37.52173027,126.7792621,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥783,1,경기도 부천시 삼작로163번길 27,경기도 부천시 내동 132-3,37.52145265,126.7791996,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥785,1,경기도 부천시 삼작로163번길 27,경기도 부천시 내동 132-3,37.52145265,126.7791996,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥786,1,경기도 부천시 삼작로163번길 27,경기도 부천시 내동 132-3,37.52145265,126.7791996,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥787,1,경기도 부천시 삼작로163번길 27,경기도 부천시 내동 132-3,37.52145265,126.7791996,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥784,1,경기도 부천시 신흥로416번길 73,경기도 부천시 내동 133-1,37.52087627,126.7793416,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥726,1,경기도 부천시 삼작로 155,경기도 부천시 내동 134,37.52041715,126.7785873,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥727,1,경기도 부천시 신흥로416번길 66,경기도 부천시 내동 134-1,37.52060133,126.7787903,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥728,1,경기도 부천시 신흥로416번길 74,경기도 부천시 내동 134-2,37.52055151,126.7791298,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥729,1,경기도 부천시 신흥로416번길 74,경기도 부천시 내동 134-2,37.52055151,126.7791298,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥730,1,경기도 부천시 신흥로416번길 74,경기도 부천시 내동 134-2,37.52055151,126.7791298,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥660,1,경기도 부천시 옥산로289번길 28,경기도 부천시 내동 135-10,37.51968237,126.7788202,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥661,1,경기도 부천시 옥산로289번길 22,경기도 부천시 내동 135-5,37.51970805,126.7790599,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥1067,1,경기도 부천시 삼작로154번길 11,경기도 부천시 내동 135-6,37.51970715,126.7785803,2013,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥659,1,경기도 부천시 삼작로154번길 11,경기도 부천시 내동 135-6,37.51970715,126.7785803,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥655,1,경기도 부천시 삼작로154번길 17,경기도 부천시 내동 136,37.51938287,126.778622,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥1066,1,경기도 부천시 삼작로154번길 27-7,경기도 부천시 내동 137,37.51915225,126.7786453,2013,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥656,1,경기도 부천시 삼작로154번길 29,경기도 부천시 내동 138,37.51880955,126.7784744,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥657,1,경기도 부천시 삼작로154번길 27-6,경기도 부천시 내동 138-1,37.51880987,126.7786463,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥658,1,경기도 부천시 삼작로164번길 32,경기도 부천시 내동 139,37.51883255,126.7792073,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥664,1,경기도 부천시 삼작로164번길 38,경기도 부천시 내동 139-1,37.51859813,126.779122,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥613,1,경기도 부천시 수도로125번길 33,경기도 부천시 내동 140,37.51826307,126.7791818,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥616,1,경기도 부천시 수도로125번길 33,경기도 부천시 내동 140,37.51826307,126.7791818,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥1063,1,경기도 부천시 수도로117번길 48,경기도 부천시 내동 141,37.51826923,126.7786253,2013,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥1061,1,경기도 부천시 수도로117번길 36-3,경기도 부천시 내동 141-3,37.51808547,126.7786485,2013,,032-625-7236,경기도 부천시청,2020-10-22
신흥1065,1,경기도 부천시 수도로117번길 36-12,경기도 부천시 내동 143,37.51781952,126.7790429,2013,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥607,1,경기도 부천시 수도로117번길 36-12,경기도 부천시 내동 143,37.51781952,126.7790429,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥614,1,경기도 부천시 수도로125번길 27,경기도 부천시 내동 143-1,37.51774068,126.7792829,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥1064,1,경기도 부천시 수도로117번길 20,경기도 부천시 내동 146-2,37.5171808,126.7786149,2013,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥606,1,경기도 부천시 수도로117번길 20,경기도 부천시 내동 146-2,37.5171808,126.7786149,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥608,1,경기도 부천시 옥산로269번길 20,경기도 부천시 내동 147-1,37.51749929,126.7793289,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥603,1,경기도 부천시 수도로 119,경기도 부천시 내동 148,37.51657569,126.7788067,,전용주,032-625-7236,경기도 부천시청,2020-10-22
신흥605,1,경기도 부천시 수도로 119,경기도 부천시 내동 148,37.51657569,126.7788067,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥1059,1,경기도 부천시 수도로 123,경기도 부천시 내동 150,37.51695502,126.7792898,2013,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥609,1,경기도 부천시 수도로 123,경기도 부천시 내동 150,37.51695502,126.7792898,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥610,1,경기도 부천시 수도로125번길 26,경기도 부천시 내동 153,37.51756875,126.7798535,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥612,1,경기도 부천시 옥산로277번길 11,경기도 부천시 내동 154,37.51820619,126.7796028,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥1068,1,경기도 부천시 옥산로 293,경기도 부천시 내동 157,37.5197888,126.7798425,2013,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥665,1,경기도 부천시 옥산로 293,경기도 부천시 내동 157-1,37.5197888,126.7798425,,전용주,032-625-7236,경기도 부천시청,2020-10-22
신흥666,1,경기도 부천시 옥산로 293,경기도 부천시 내동 157-1,37.5197888,126.7798425,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥682,1,,경기도 부천시 내동 158-3,,,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥1069,1,경기도 부천시 옥산로 293,경기도 부천시 내동 159,37.5197888,126.7798425,2013,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥731,1,경기도 부천시 삼작로171번길 9,경기도 부천시 내동 160,37.52053496,126.7799127,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥732,1,경기도 부천시 삼작로171번길 9,경기도 부천시 내동 160,37.52053496,126.7799127,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥782,1,,경기도 부천시 내동 161 앞,,,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥733,1,경기도 부천시 삼작로171번길 13,경기도 부천시 내동 161-11,37.5207876,126.7801065,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥267,1,경기도 부천시 신흥로401번길 9-3,경기도 부천시 내동 16-14,37.51932169,126.7748576,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥700,1,경기도 부천시 수도로159번길 42,경기도 부천시 내동 163-17,37.51969302,126.7826164,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥702,1,경기도 부천시 부천로397번길 32,경기도 부천시 내동 163-2,37.51966462,126.7828518,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥778,1,경기도 부천시 삼작로171번길 29,경기도 부천시 내동 165,37.52150114,126.7800818,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥780,1,경기도 부천시 삼작로171번길 29,경기도 부천시 내동 165,37.52150114,126.7800818,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥779,1,경기도 부천시 삼작로171번길 21,경기도 부천시 내동 165-2,37.52111185,126.7800467,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥826,1,경기도 부천시 삼작로171번길 41,경기도 부천시 내동 167-1,37.5221209,126.7800121,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥827,1,경기도 부천시 삼작로171번길 37,경기도 부천시 내동 167-2,37.52181463,126.7800492,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥781,1,경기도 부천시 부천로419번길 90,경기도 부천시 내동 167-6,37.52165536,126.7796786,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥822,1,경기도 부천시 삼작로163번길 54,경기도 부천시 내동 168,37.52247362,126.7797577,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥260,1,경기도 부천시 삼작로118번길 25,경기도 부천시 내동 16-8,37.51904712,126.7745101,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥823,1,경기도 부천시 신흥로438번길 74,경기도 부천시 내동 168-1,37.5222796,126.7800795,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥824,1,경기도 부천시 신흥로438번길 74,경기도 부천시 내동 168-1,37.5222796,126.7800795,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥825,1,,경기도 부천시 내동 168앞,,,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥893,1,경기도 부천시 삼작로163번길 78,경기도 부천시 내동 169,37.5236125,126.7797634,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥895,1,경기도 부천시 삼작로171번길 77,경기도 부천시 내동 169-2,37.5236202,126.7800303,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥898,1,경기도 부천시 삼작로171번길 61,경기도 부천시 내동 169-5,37.52284892,126.7800145,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥897,1,경기도 부천시 삼작로171번길 73,경기도 부천시 내동 169-8,37.5234292,126.7800354,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥281,1,경기도 부천시 삼작로108번길 19,경기도 부천시 내동 17,37.51935449,126.7731652,2008,건축물,032-625-7236,경기도 부천시청,2020-10-22
신흥899,1,경기도 부천시 삼작로171번길 78,경기도 부천시 내동 170,37.52358148,126.7805282,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥900,1,경기도 부천시 부천로439번길 67,경기도 부천시 내동 170-2,37.52356754,126.7807816,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥902,1,경기도 부천시 삼작로177번길 73,경기도 부천시 내동 170-6,37.52341989,126.7808454,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥1051,1,경기도 부천시 삼작로177번길 67,경기도 부천시 내동 170-8,37.52314599,126.7808462,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥904,1,경기도 부천시 삼작로177번길 63,경기도 부천시 내동 170-9,37.52300184,126.7808512,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥278,1,경기도 부천시 신흥로401번길 29-1,경기도 부천시 내동 17-12,37.51929051,126.773627,,건축물,032-625-7236,경기도 부천시청,2020-10-22
신흥858,1,경기도 부천시 삼작로177번길 53,경기도 부천시 내동 172,37.5225937,126.7803727,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥859,1,경기도 부천시 삼작로177번길 53,경기도 부천시 내동 172,37.5225937,126.7803727,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥774,1,경기도 부천시 삼작로177번길 21,경기도 부천시 내동 176,37.5211133,126.7808295,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥775,1,경기도 부천시 삼작로177번길 17,경기도 부천시 내동 176-2,37.52090783,126.7808075,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥737,1,경기도 부천시 삼작로177번길 15,경기도 부천시 내동 176-4,37.52078562,126.7809798,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥279,1,경기도 부천시 신흥로401번길 33,경기도 부천시 내동 17-8,37.51935115,126.773301,,건축물,032-625-7236,경기도 부천시청,2020-10-22
신흥741,1,경기도 부천시 부천로409번길 50,경기도 부천시 내동 178-9,37.52079446,126.7818667,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥275,1,경기도 부천시 신흥로401번길 25-1,경기도 부천시 내동 17-9,,,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥740,1,경기도 부천시 부천로409번길 54,경기도 부천시 내동 179-1,37.52083023,126.7817172,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥739,1,경기도 부천시 부천로409번길 56,경기도 부천시 내동 179-2,37.52086591,126.7815226,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥772,1,경기도 부천시 부천로419번길 55,경기도 부천시 내동 180-2,37.52146787,126.7815751,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥760,1,경기도 부천시 삼작로189번길 33,경기도 부천시 내동 180-6,37.5214718,126.781747,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥258,1,경기도 부천시 신흥로395번길 12,경기도 부천시 내동 18-12,37.51911051,126.7737316,2008,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥773,1,경기도 부천시 삼작로177번길 27,경기도 부천시 내동 182-18,37.52141262,126.7809282,2010,,032-625-7236,경기도 부천시청,2020-10-22
신흥776,1,경기도 부천시 삼작로177번길 27,경기도 부천시 내동 182-18,37.52141262,126.7809282,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥777,1,경기도 부천시 삼작로171번길 30,경기도 부천시 내동 187-23,37.52145845,126.7803806,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥259,1,,경기도 부천시 내동 18-8,,,,전용주,032-625-7236,경기도 부천시청,2020-10-22
신흥734,1,경기도 부천시 삼작로 175,경기도 부천시 내동 190,37.52056841,126.7804601,2010,,032-625-7236,경기도 부천시청,2020-10-22
신흥735,1,경기도 부천시 삼작로 175,경기도 부천시 내동 190-1,37.52056841,126.7804601,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥736,1,경기도 부천시 삼작로 175,경기도 부천시 내동 191-1,37.52056841,126.7804601,2010,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥290,1,경기도 부천시 삼작로96번길 21,경기도 부천시 내동 19-12,37.51932343,126.772007,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥291,1,경기도 부천시 삼작로96번길 21,경기도 부천시 내동 19-12,37.51932343,126.772007,,전용주,032-625-7236,경기도 부천시청,2020-10-22
신흥694,1,경기도 부천시 삼작로178번길 14,경기도 부천시 내동 192-1,37.51979415,126.7807836,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥255,1,경기도 부천시 삼작로108번길 16,경기도 부천시 내동 19-3,37.51919559,126.7729938,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥693,1,경기도 부천시 옥산로290번길 8,경기도 부천시 내동 193-1,37.51942614,126.7805675,,,032-625-7236,경기도 부천시청,2020-10-22
신흥691,1,경기도 부천시 삼작로178번길 28,경기도 부천시 내동 194-1,37.51901952,126.7809081,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥692,1,경기도 부천시 삼작로178번길 24,경기도 부천시 내동 194-3,37.51917076,126.7808397,,한전주,032-625-7236,경기도 부천시청,2020-10-22
신흥672,1,경기도 부천시 옥산로 280,경기도 부천시 내동 195,37.51865115,126.7804974,,한전주,032-625-7236,경기도 부천시청,2020-10-22
